Season,Week,Team,Day,Date,Win,OT,Home,Opp,Off_Pts,Def_Pts,G,Spread,Total,Point_Diff,Spread_Covered,Actual_vs_Expected
2014,1,CRD,Mon,September 8,1,0,1,SDG,18,17,1,-3.0,45.0,1,0,-10.0
2014,2,CRD,Sun,September 14,1,0,0,NYG,25,14,2,-2.0,42.5,11,1,-3.5
2014,3,CRD,Sun,September 21,1,0,1,SFO,23,14,3,3.0,42.0,9,1,-5.0
2014,5,CRD,Sun,October 5,0,0,0,DEN,20,41,4,7.5,48.0,-21,0,13.0
2014,6,CRD,Sun,October 12,1,0,1,WAS,30,20,5,-5.5,47.0,10,1,3.0
2014,7,CRD,Sun,October 19,1,0,0,RAI,24,13,6,-3.5,46.5,11,1,-9.5
2014,8,CRD,Sun,October 26,1,0,1,PHI,24,20,7,1.0,48.5,4,1,-4.5
2014,9,CRD,Sun,November 2,1,0,0,DAL,28,17,8,1.5,45.0,11,1,0.0
2014,10,CRD,Sun,November 9,1,0,1,RAM,31,14,9,-7.0,43.0,17,1,2.0
2014,11,CRD,Sun,November 16,1,0,1,DET,14,6,10,-1.0,41.0,8,1,-21.0
2014,12,CRD,Sun,November 23,0,0,0,SEA,3,19,11,7.0,41.5,-16,0,-19.5
2014,13,CRD,Sun,November 30,0,0,0,ATL,18,29,12,-1.5,45.0,-11,0,2.0
2014,14,CRD,Sun,December 7,1,0,1,KAN,17,14,13,2.5,41.0,3,1,-10.0
2014,15,CRD,Thu,December 11,1,0,0,RAM,12,6,14,4.5,40.5,6,1,-22.5
2014,16,CRD,Sun,December 21,0,0,1,SEA,6,35,15,9.0,36.0,-29,0,5.0
2014,17,CRD,Sun,December 28,0,0,0,SFO,17,20,16,6.5,37.5,-3,1,-0.5
2014,1,ATL,Sun,September 7,1,1,1,NOR,37,34,1,3.0,51.5,3,1,19.5
2014,2,ATL,Sun,September 14,0,0,0,CIN,10,24,2,6.0,49.0,-14,0,-15.0
2014,3,ATL,Thu,September 18,1,0,1,TAM,56,14,3,-6.0,46.0,42,1,24.0
2014,4,ATL,Sun,September 28,0,0,0,MIN,28,41,4,-3.0,47.0,-13,0,22.0
2014,5,ATL,Sun,October 5,0,0,0,NYG,20,30,5,4.0,50.0,-10,0,0.0
2014,6,ATL,Sun,October 12,0,0,1,CHI,13,27,6,-3.5,55.5,-14,0,-15.5
2014,7,ATL,Sun,October 19,0,0,0,RAV,7,29,7,6.5,49.5,-22,0,-13.5
2014,8,ATL,Sun,October 26,0,0,1,DET,21,22,8,3.5,45.5,-1,1,-2.5
2014,10,ATL,Sun,November 9,1,0,0,TAM,27,17,9,-3.0,47.0,10,1,-3.0
2014,11,ATL,Sun,November 16,1,0,0,CAR,19,17,10,-1.5,47.0,2,1,-11.0
2014,12,ATL,Sun,November 23,0,0,1,CLE,24,26,11,-2.5,48.5,-2,0,1.5
2014,13,ATL,Sun,November 30,1,0,1,CRD,29,18,12,1.5,45.0,11,1,2.0
2014,14,ATL,Mon,December 8,0,0,0,GNB,37,43,13,13.5,54.5,-6,1,25.5
2014,15,ATL,Sun,December 14,0,0,1,PIT,20,27,14,3.0,55.0,-7,0,-8.0
2014,16,ATL,Sun,December 21,1,0,0,NOR,30,14,15,6.0,56.5,16,1,-12.5
2014,17,ATL,Sun,December 28,0,0,1,CAR,3,34,16,-3.0,48.0,-31,0,-11.0
2014,1,RAV,Sun,September 7,0,0,1,CIN,16,23,1,-2.0,43.0,-7,0,-4.0
2014,2,RAV,Thu,September 11,1,0,1,PIT,26,6,2,-2.5,44.0,20,1,-12.0
2014,3,RAV,Sun,September 21,1,0,0,CLE,23,21,3,-2.0,41.5,2,0,2.5
2014,4,RAV,Sun,September 28,1,0,1,CAR,38,10,4,-3.0,42.0,28,1,6.0
2014,5,RAV,Sun,October 5,0,0,0,CLT,13,20,5,3.0,49.0,-7,0,-16.0
2014,6,RAV,Sun,October 12,1,0,0,TAM,48,17,6,-3.0,44.0,31,1,21.0
2014,7,RAV,Sun,October 19,1,0,1,ATL,29,7,7,-6.5,49.5,22,1,-13.5
2014,8,RAV,Sun,October 26,0,0,0,CIN,24,27,8,-3.0,44.5,-3,0,6.5
2014,9,RAV,Sun,November 2,0,0,0,PIT,23,43,9,2.5,47.5,-20,0,18.5
2014,10,RAV,Sun,November 9,1,0,1,OTI,21,7,10,-10.5,44.5,14,1,-16.5
2014,12,RAV,Mon,November 24,1,0,0,NOR,34,27,11,3.0,51.0,7,1,10.0
2014,13,RAV,Sun,November 30,0,0,1,SDG,33,34,12,-6.5,45.5,-1,0,21.5
2014,14,RAV,Sun,December 7,1,0,0,MIA,28,13,13,3.0,45.0,15,1,-4.0
2014,15,RAV,Sun,December 14,1,0,1,JAX,20,12,14,-13.5,45.0,8,0,-13.0
2014,16,RAV,Sun,December 21,0,0,0,HTX,13,25,15,-6.5,42.0,-12,0,-4.0
2014,17,RAV,Sun,December 28,1,0,1,CLE,20,10,16,-13.5,39.5,10,0,-9.5
2014,1,BUF,Sun,September 7,1,1,0,CHI,23,20,1,7.0,47.0,3,1,-4.0
2014,2,BUF,Sun,September 14,1,0,1,MIA,29,10,2,-1.5,42.5,19,1,-3.5
2014,3,BUF,Sun,September 21,0,0,1,SDG,10,22,3,-2.5,45.5,-12,0,-13.5
2014,4,BUF,Sun,September 28,0,0,0,HTX,17,23,4,3.0,42.5,-6,0,-2.5
2014,5,BUF,Sun,October 5,1,0,0,DET,17,14,5,6.5,43.0,3,1,-12.0
2014,6,BUF,Sun,October 12,0,0,1,NWE,22,37,6,-1.0,44.0,-15,0,15.0
2014,7,BUF,Sun,October 19,1,0,1,MIN,17,16,7,-6.5,43.5,1,0,-10.5
2014,8,BUF,Sun,October 26,1,0,0,NYJ,43,23,8,3.0,40.5,20,1,25.5
2014,10,BUF,Sun,November 9,0,0,1,KAN,13,17,9,-1.5,42.0,-4,0,-12.0
2014,11,BUF,Thu,November 13,0,0,0,MIA,9,22,10,5.0,42.0,-13,0,-11.0
2014,12,BUF,Mon,November 24,1,0,1,NYJ,38,3,11,-2.5,42.5,35,1,-1.5
2014,13,BUF,Sun,November 30,1,0,1,CLE,26,10,12,-3.0,42.0,16,1,-6.0
2014,14,BUF,Sun,December 7,0,0,0,DEN,17,24,13,9.5,47.5,-7,1,-6.5
2014,15,BUF,Sun,December 14,1,0,1,GNB,21,13,14,4.0,50.0,8,1,-16.0
2014,16,BUF,Sun,December 21,0,0,0,RAI,24,26,15,-6.5,42.0,-2,0,8.0
2014,17,BUF,Sun,December 28,1,0,0,NWE,17,9,16,6.5,44.0,8,1,-18.0
2014,1,CAR,Sun,September 7,1,0,0,TAM,20,14,1,2.5,39.5,6,1,-5.5
2014,2,CAR,Sun,September 14,1,0,1,DET,24,7,2,-2.5,44.0,17,1,-13.0
2014,3,CAR,Sun,September 21,0,0,1,PIT,19,37,3,-3.0,42.0,-18,0,14.0
2014,4,CAR,Sun,September 28,0,0,0,RAV,10,38,4,3.0,42.0,-28,0,6.0
2014,5,CAR,Sun,October 5,1,0,1,CHI,31,24,5,-2.5,45.5,7,1,9.5
2014,6,CAR,Sun,October 12,0,1,0,CIN,37,37,6,7.0,44.0,0,1,30.0
2014,7,CAR,Sun,October 19,0,0,0,GNB,17,38,7,6.5,49.0,-21,0,6.0
2014,8,CAR,Sun,October 26,0,0,1,SEA,9,13,8,6.0,45.0,-4,1,-23.0
2014,9,CAR,Thu,October 30,0,0,1,NOR,10,28,9,3.0,49.0,-18,0,-11.0
2014,10,CAR,Mon,November 10,0,0,0,PHI,21,45,10,7.0,48.5,-24,0,17.5
2014,11,CAR,Sun,November 16,0,0,1,ATL,17,19,11,1.5,47.0,-2,0,-11.0
2014,13,CAR,Sun,November 30,0,0,0,MIN,13,31,12,2.5,41.5,-18,0,2.5
2014,14,CAR,Sun,December 7,1,0,0,NOR,41,10,13,9.0,50.5,31,1,0.5
2014,15,CAR,Sun,December 14,1,0,1,TAM,19,17,14,-3.0,41.0,2,0,-5.0
2014,16,CAR,Sun,December 21,1,0,1,CLE,17,13,15,-6.0,40.0,4,0,-10.0
2014,17,CAR,Sun,December 28,1,0,0,ATL,34,3,16,3.0,48.0,31,1,-11.0
2014,1,CHI,Sun,September 7,0,1,1,BUF,20,23,1,-7.0,47.0,-3,0,-4.0
2014,2,CHI,Sun,September 14,1,0,0,SFO,28,20,2,7.0,47.5,8,1,0.5
2014,3,CHI,Mon,September 22,1,0,0,NYJ,27,19,3,2.5,44.0,8,1,2.0
2014,4,CHI,Sun,September 28,0,0,1,GNB,17,38,4,1.5,51.5,-21,0,3.5
2014,5,CHI,Sun,October 5,0,0,0,CAR,24,31,5,2.5,45.5,-7,0,9.5
2014,6,CHI,Sun,October 12,1,0,0,ATL,27,13,6,3.5,55.5,14,1,-15.5
2014,7,CHI,Sun,October 19,0,0,1,MIA,14,27,7,-3.0,47.5,-13,0,-6.5
2014,8,CHI,Sun,October 26,0,0,0,NWE,23,51,8,6.0,52.0,-28,0,22.0
2014,10,CHI,Sun,November 9,0,0,0,GNB,14,55,9,9.5,54.0,-41,0,15.0
2014,11,CHI,Sun,November 16,1,0,1,MIN,21,13,10,-2.5,46.5,8,1,-12.5
2014,12,CHI,Sun,November 23,1,0,1,TAM,21,13,11,-4.5,46.5,8,1,-12.5
2014,13,CHI,Thu,November 27,0,0,0,DET,17,34,12,7.0,46.5,-17,0,4.5
2014,14,CHI,Thu,December 4,0,0,1,DAL,28,41,13,4.0,50.5,-13,0,18.5
2014,15,CHI,Mon,December 15,0,0,1,NOR,15,31,14,3.0,53.5,-16,0,-7.5
2014,16,CHI,Sun,December 21,0,0,1,DET,14,20,15,10.0,44.5,-6,1,-10.5
2014,17,CHI,Sun,December 28,0,0,0,MIN,9,13,16,7.0,46.5,-4,1,-24.5
2014,1,CIN,Sun,September 7,1,0,0,RAV,23,16,1,2.0,43.0,7,1,-4.0
2014,2,CIN,Sun,September 14,1,0,1,ATL,24,10,2,-6.0,49.0,14,1,-15.0
2014,3,CIN,Sun,September 21,1,0,1,OTI,33,7,3,-6.5,42.5,26,1,-2.5
2014,5,CIN,Sun,October 5,0,0,0,NWE,17,43,4,0.0,46.0,-26,0,14.0
2014,6,CIN,Sun,October 12,0,1,1,CAR,37,37,5,-7.0,44.0,0,0,30.0
2014,7,CIN,Sun,October 19,0,0,0,CLT,0,27,6,3.5,50.5,-27,0,-23.5
2014,8,CIN,Sun,October 26,1,0,1,RAV,27,24,7,3.0,44.5,3,1,6.5
2014,9,CIN,Sun,November 2,1,0,1,JAX,33,23,8,-10.0,44.0,10,0,12.0
2014,10,CIN,Thu,November 6,0,0,1,CLE,3,24,9,-6.5,46.0,-21,0,-19.0
2014,11,CIN,Sun,November 16,1,0,0,NOR,27,10,10,7.0,51.0,17,1,-14.0
2014,12,CIN,Sun,November 23,1,0,0,HTX,22,13,11,2.5,44.5,9,1,-9.5
2014,13,CIN,Sun,November 30,1,0,0,TAM,14,13,12,-6.0,43.5,1,0,-16.5
2014,14,CIN,Sun,December 7,0,0,1,PIT,21,42,13,-3.0,47.5,-21,0,15.5
2014,15,CIN,Sun,December 14,1,0,0,CLE,30,0,14,1.0,44.0,30,1,-14.0
2014,16,CIN,Mon,December 22,1,0,1,DEN,37,28,15,3.5,47.0,9,1,18.0
2014,17,CIN,Sun,December 28,0,0,0,PIT,17,27,16,3.5,48.0,-10,0,-4.0
2014,1,CLE,Sun,September 7,0,0,0,PIT,27,30,1,7.0,41.5,-3,1,15.5
2014,2,CLE,Sun,September 14,1,0,1,NOR,26,24,2,6.0,48.5,2,1,1.5
2014,3,CLE,Sun,September 21,0,0,1,RAV,21,23,3,2.0,41.5,-2,0,2.5
2014,5,CLE,Sun,October 5,1,0,0,OTI,29,28,4,1.0,44.0,1,1,13.0
2014,6,CLE,Sun,October 12,1,0,1,PIT,31,10,5,-1.5,46.5,21,1,-5.5
2014,7,CLE,Sun,October 19,0,0,0,JAX,6,24,6,-4.0,45.0,-18,0,-15.0
2014,8,CLE,Sun,October 26,1,0,1,RAI,23,13,7,-6.5,44.5,10,1,-8.5
2014,9,CLE,Sun,November 2,1,0,1,TAM,22,17,8,-7.0,44.0,5,0,-5.0
2014,10,CLE,Thu,November 6,1,0,0,CIN,24,3,9,6.5,46.0,21,1,-19.0
2014,11,CLE,Sun,November 16,0,0,1,HTX,7,23,10,-3.5,41.0,-16,0,-11.0
2014,12,CLE,Sun,November 23,1,0,0,ATL,26,24,11,2.5,48.5,2,1,1.5
2014,13,CLE,Sun,November 30,0,0,0,BUF,10,26,12,3.0,42.0,-16,0,-6.0
2014,14,CLE,Sun,December 7,0,0,1,CLT,24,25,13,3.0,50.0,-1,1,-1.0
2014,15,CLE,Sun,December 14,0,0,1,CIN,0,30,14,-1.0,44.0,-30,0,-14.0
2014,16,CLE,Sun,December 21,0,0,0,CAR,13,17,15,6.0,40.0,-4,1,-10.0
2014,17,CLE,Sun,December 28,0,0,0,RAV,10,20,16,13.5,39.5,-10,1,-9.5
2014,1,DAL,Sun,September 7,0,0,1,SFO,17,28,1,4.5,51.0,-11,0,-6.0
2014,2,DAL,Sun,September 14,1,0,0,OTI,26,10,2,3.5,49.5,16,1,-13.5
2014,3,DAL,Sun,September 21,1,0,0,RAM,34,31,3,-1.5,44.0,3,1,21.0
2014,4,DAL,Sun,September 28,1,0,1,NOR,38,17,4,3.0,53.5,21,1,1.5
2014,5,DAL,Sun,October 5,1,1,1,HTX,20,17,5,-6.5,47.0,3,0,-10.0
2014,6,DAL,Sun,October 12,1,0,0,SEA,30,23,6,9.5,47.0,7,1,6.0
2014,7,DAL,Sun,October 19,1,0,1,NYG,31,21,7,-5.5,47.0,10,1,5.0
2014,8,DAL,Mon,October 27,0,1,1,WAS,17,20,8,-9.5,49.0,-3,0,-12.0
2014,9,DAL,Sun,November 2,0,0,1,CRD,17,28,9,-1.5,45.0,-11,0,0.0
2014,10,DAL,Sun,November 9,1,0,0,JAX,31,17,10,-7.5,45.0,14,1,3.0
2014,12,DAL,Sun,November 23,1,0,0,NYG,31,28,11,-5.0,49.0,3,0,10.0
